block_date,total_eth_balance,number_of_addresses
1970-01-01,72009990.49948,8891
2015-07-30,72049301.59323,9203
2015-07-31,72085493.31198,9359
2015-08-01,72113195.49948,9474
2015-08-02,72141422.68698,9561
2015-08-03,72169399.40573,9637
2015-08-04,72197877.84323,9694
2015-08-05,72225406.43698,9747
2015-08-06,72252481.90573,9788
2015-08-07,72279919.15053595,10025
2015-08-08,72307862.125322669,10193
2015-08-09,72335040.243704313,10325
2015-08-10,72362857.376349097,10471
2015-08-11,72390884.876996589,10584
2015-08-12,72418255.627178561,10750
2015-08-13,72446523.526543213,10982
2015-08-14,72477629.774101458,11195
2015-08-15,72506142.241725347,11395
2015-08-16,72533236.616494994,11564
2015-08-17,72561355.425680796,11709
2015-08-18,72587518.148432726,11872
2015-08-19,72614800.025892105,12031
2015-08-20,72635856.920417509,12401
2015-08-21,72662547.636591324,12265
2015-08-22,72690097.889751791,12380
2015-08-23,72716353.524073128,12547
2015-08-24,72743686.75843586,12639
2015-08-25,72770422.636254877,12737
2015-08-26,72796560.43820048,12795
2015-08-27,72821093.017568542,12900
2015-08-28,72845317.996052848,12964
2015-08-29,72867842.780534938,13002
2015-08-30,72889296.180945862,13083
2015-08-31,72910589.535962481,13143
2015-09-01,72930928.599396805,13202
2015-09-02,72949319.494136624,13288
2015-09-03,72966700.316123001,13348
2015-09-04,72989782.028209781,13417
2015-09-05,73015410.829927377,13461
2015-09-06,73041579.083631643,13479
2015-09-07,73067039.398592016,13558
2015-09-08,73092927.994097965,13592
2015-09-09,73119359.293640026,13657
2015-09-10,73145803.363774513,13690
2015-09-11,73173041.648250015,13758
2015-09-12,73199444.052677606,13828
2015-09-13,73225615.339021324,13948
2015-09-14,73251203.249752882,14013
2015-09-15,73276818.533439841,14133
2015-09-16,73303136.525266334,14199
2015-09-17,73328571.957507263,14212
2015-09-18,73354466.126633491,14272
2015-09-19,73381653.259537755,14296
2015-09-20,73409635.85822206,14319
2015-09-21,73436287.551803644,14335
2015-09-22,73462657.803430431,14339
2015-09-23,73489738.111097457,14425
2015-09-24,73516123.727899132,14471
2015-09-25,73543127.179589765,14504
2015-09-26,73569037.413649701,14526
2015-09-27,73594048.357839455,14542
2015-09-28,73618762.523808255,14604
2015-09-29,73643127.015753237,14617
2015-09-30,73668224.456574446,14657
2015-10-01,73695646.405911699,14663
2015-10-02,73722559.361673644,14691
2015-10-03,73749013.026170196,14771
2015-10-04,73774493.071616787,14811
2015-10-05,73800629.92813814,14860
2015-10-06,73825666.371883721,14911
2015-10-07,73851799.927027922,14950
2015-10-08,73878578.268225876,14962
2015-10-09,73904029.598615275,15006
2015-10-10,73929529.252849671,15040
2015-10-11,73956036.105151688,15033
2015-10-12,73982839.686541942,15049
2015-10-13,74009507.950295309,15186
2015-10-14,74035383.363367992,15321
2015-10-15,74060993.751888767,15469
2015-10-16,74086434.980095077,15472
2015-10-17,74112885.488163734,15492
2015-10-18,74138733.466422331,15557
2015-10-19,74164700.066841268,15707
2015-10-20,74190892.438285387,15730
2015-10-21,74216938.659993989,15928
2015-10-22,74242269.327483656,16023
2015-10-23,74269824.116384978,16030
2015-10-24,74296942.772753509,16326
2015-10-25,74323756.801121548,16455
2015-10-26,74349668.892884345,16688
2015-10-27,74377198.163196422,16752
2015-10-28,74403542.624318689,16796
2015-10-29,74431053.152482446,16958
2015-10-30,74458772.765535371,17308
2015-10-31,74486523.708346303,17548
2015-11-01,74514703.758370494,18006
2015-11-02,74541837.600340012,18182
2015-11-03,74569443.268663636,18437
2015-11-04,74597159.571700511,18662
2015-11-05,74624450.758225753,18748
2015-11-06,74651872.741534581,18764
2015-11-07,74678587.779819497,19112
2015-11-08,74705876.792036239,19656
2015-11-09,74732936.058688311,19849
2015-11-10,74760379.950008827,19860
2015-11-11,74788199.869577727,20072
2015-11-12,74816230.971789347,20037
2015-11-13,74844415.995229948,20174
2015-11-14,74872773.384647233,20136
2015-11-15,74900893.507815249,20185
2015-11-16,74928288.575115863,20231
2015-11-17,74956082.061886103,20306
2015-11-18,74983333.902061001,20331
2015-11-19,75009897.234320164,20371
2015-11-20,75035027.711800512,20501
2015-11-21,75061809.80595135,20448
2015-11-22,75088798.345619506,20911
2015-11-23,75116070.580597417,20933
2015-11-24,75142918.57153538,21067
2015-11-25,75169390.329577901,21091
2015-11-26,75195928.745606083,21190
2015-11-27,75223815.52978839,21518
2015-11-28,75251016.598569926,21199
2015-11-29,75278367.489788829,21229
2015-11-30,75305727.372164777,21356
2015-12-01,75333270.179319731,21427
2015-12-02,75359277.167686931,21481
2015-12-03,75387340.40064314,21531
2015-12-04,75414019.698055662,21631
2015-12-05,75440601.553699428,21709
2015-12-06,75466857.170316318,21668
2015-12-07,75493576.399526835,21707
2015-12-08,75519888.719059329,21740
2015-12-09,75548212.742500526,21783
2015-12-10,75575689.981160542,21835
2015-12-11,75602712.66173331,21870
2015-12-12,75629919.129008414,22221
2015-12-13,75657826.397430184,22291
2015-12-14,75684534.981650623,22375
2015-12-15,75711549.406022089,22432
2015-12-16,75738006.55896175,22431
2015-12-17,75764889.682264088,22541
2015-12-18,75791561.093578967,22663
2015-12-19,75818255.605731182,22716
2015-12-20,75844691.624335684,22799
2015-12-21,75871149.305546495,22890
2015-12-22,75898523.515761957,22933
2015-12-23,75925922.789530413,22981
2015-12-24,75952609.284968268,23016
2015-12-25,75979412.818177732,23070
2015-12-26,76005972.887483231,23126
2015-12-27,76032826.607764058,23213
2015-12-28,76059884.39975799,23278
2015-12-29,76086545.481471551,23313
2015-12-30,76113281.697681446,24011
2015-12-31,76140189.797154292,23484
2016-01-01,76166260.034968158,23550
2016-01-02,76193643.811981604,23604
2016-01-03,76221319.498040037,23694
2016-01-04,76248739.999178646,23768
2016-01-05,76276579.226409336,23860
2016-01-06,76304204.508537384,23983
2016-01-07,76331226.522892563,24076
2016-01-08,76359223.021563743,24175
2016-01-09,76386818.54992199,24393
2016-01-10,76414106.209410973,24361
2016-01-11,76441110.986457651,24494
2016-01-12,76467011.328019122,24611
2016-01-13,76493546.379713762,24700
2016-01-14,76520465.345397955,24806
2016-01-15,76547262.098090493,24995
2016-01-16,76573784.946488334,25166
2016-01-17,76600384.538738591,25362
2016-01-18,76627004.14719769,25583
2016-01-19,76653096.678061434,25728
2016-01-20,76679639.515867795,25689
2016-01-21,76705558.50185735,25907
2016-01-22,76731813.321039902,26145
2016-01-23,76757582.152509068,26428
2016-01-24,76784820.620703201,26828
2016-01-25,76810520.438138173,27252
2016-01-26,76837504.637236096,27751
2016-01-27,76863608.428607428,28109
2016-01-28,76890168.674604869,28476
2016-01-29,76916332.287811268,28855
2016-01-30,76942524.765354457,29381
2016-01-31,76968205.673370235,29786
2016-02-01,76994636.191269647,30074
2016-02-02,77020499.941458168,30342
2016-02-03,77047801.102440936,30854
